DISTANCE,CC(G)
1,118
5,118
6,118
10,118
11,118
15,118
16,118
20,118
21,118
25,118
26,118
30,118
31,118
35,118
36,118
40,118
41,118
45,118
46,118
50,118
51,118
55,118
56,118
60,118
61,118
65,118
66,118
70,118
71,118
75,118
76,118
80,118
81,118
85,118
86,118
90,118
91,118
95,118
96,118
100,164
101,164
105,164
106,164
110,164
111,164
115,164
116,164
120,164
121,164
125,164
126,164
130,164
131,164
135,164
136,164
140,164
141,164
145,164
146,164
150,164
151,201
155,201
156,201
160,201
161,201
165,201
166,201
170,201
171,201
175,201
176,201
180,201
181,201
185,201
186,201
190,201
191,201
195,201
196,201
200,201
201,233
205,233
206,233
210,233
211,233
215,233
216,233
220,233
221,233
225,233
226,233
230,233
231,233
235,233
236,233
240,233
241,233
245,233
246,233
250,233
251,260
255,260
256,260
260,260
261,260
265,260
266,260
270,260
271,260
275,260
276,260
280,260
281,260
285,260
286,260
290,260
291,260
295,260
296,260
300,260
301,286
310,286
311,286
320,286
321,286
330,286
331,286
340,286
341,286
350,286
351,314
360,314
361,314
370,314
371,314
380,314
381,314
390,314
391,314
400,340
401,340
410,340
411,340
420,340
421,340
430,340
431,340
440,340
441,340
450,369
451,369
460,369
461,369
470,369
471,369
480,369
481,369
490,369
491,369
500,420
501,420
510,420
511,420
520,420
521,420
530,420
531,420
540,420
541,420
550,448
551,448
560,448
561,448
570,448
571,448
580,448
581,448
590,448
591,448
600,474
