DISTANCE,2S(J)
1,39
5,39
6,39
10,39
11,39
15,39
16,39
20,39
21,39
25,39
26,39
30,39
31,39
35,39
36,39
40,39
41,39
45,39
46,39
50,39
51,39
55,39
56,44
60,44
61,44
65,44
66,50
70,50
71,50
75,50
76,50
80,50
81,51
85,51
86,56
90,56
91,56
95,56
96,56
100,56
101,57
105,57
106,64
110,64
111,64
115,64
116,66
120,66
121,68
125,68
126,71
130,71
131,73
135,73
136,73
140,73
141,73
145,73
146,74
150,74
151,78
155,78
156,78
160,78
161,79
165,79
166,79
170,79
171,84
175,84
176,84
180,84
181,86
185,86
186,86
190,86
191,91
195,91
196,92
200,92
201,92
205,92
206,92
210,92
211,97
215,97
216,97
220,97
221,98
225,98
226,98
230,98
231,100
235,100
236,105
240,105
241,105
245,105
246,106
250,106
251,108
255,108
256,109
260,109
261,111
265,111
266,114
270,114
271,114
275,114
276,117
280,117
281,118
285,118
286,119
290,119
291,121
295,121
296,122
300,122
301,126
310,126
311,126
320,126
321,126
330,126
331,131
340,131
341,134
350,134
351,134
360,134
361,138
370,138
371,142
380,142
381,145
390,145
391,148
400,148
401,153
410,153
411,154
420,154
421,154
430,154
431,157
440,157
441,158
450,158
451,159
460,159
461,168
470,168
471,169
480,169
481,172
490,172
491,172
500,172
501,176
510,176
511,179
520,179
521,180
530,180
531,180
540,180
541,190
550,190
551,194
560,194
561,194
570,194
571,197
580,197
581,198
590,198
591,200
600,200
