DISTANCE,CC(J)
1,170
5,170
6,170
10,170
11,170
15,170
16,170
20,170
21,170
25,170
26,170
30,170
31,170
35,170
36,170
40,170
41,170
45,170
46,170
50,170
51,194
55,194
56,194
60,194
61,194
65,194
66,194
70,194
71,194
75,194
76,194
80,194
81,194
85,194
86,194
90,194
91,194
95,194
96,194
100,194
101,205
105,205
106,212
110,212
111,212
115,212
116,217
120,217
121,223
125,223
126,223
130,223
131,228
135,228
136,234
140,234
141,240
145,240
146,251
150,251
151,251
155,251
156,258
160,258
161,264
165,264
166,270
170,270
171,275
175,275
176,281
180,281
181,281
185,281
186,287
190,287
191,298
195,298
196,304
200,304
201,304
205,304
206,316
210,316
211,316
215,316
216,323
220,323
221,328
225,328
226,334
230,334
231,340
235,340
236,340
240,340
241,346
245,346
246,351
250,351
251,363
255,363
256,363
260,363
261,369
265,369
266,374
270,374
271,374
275,374
276,380
280,380
281,387
285,387
286,393
290,393
291,398
295,398
296,404
300,404
301,410
310,410
311,421
320,421
321,427
330,427
331,439
340,439
341,451
350,451
351,456
360,456
361,468
370,468
371,474
380,474
381,486
390,486
391,491
400,491
401,502
410,502
411,515
420,515
421,521
430,521
431,532
440,532
441,544
450,544
451,549
460,549
461,561
470,561
471,567
480,567
481,579
490,579
491,585
500,585
501,614
510,614
511,625
520,625
521,630
530,630
531,644
540,644
541,655
550,655
551,661
560,661
561,661
570,661
571,672
580,672
581,678
590,678
591,695
600,695
