DISTANCE,2S(M)
1,29
5,29
6,29
10,29
11,29
15,29
16,29
20,29
21,29
25,29
26,29
30,29
31,29
35,29
36,29
40,29
41,29
45,29
46,29
50,29
51,33
55,33
56,34
60,34
61,36
65,36
66,39
70,39
71,41
75,41
76,42
80,42
81,43
85,43
86,45
90,45
91,46
95,46
96,47
100,47
101,48
105,48
106,49
110,49
111,52
115,52
116,54
120,54
121,55
125,55
126,56
130,56
131,57
135,57
136,59
140,59
141,60
145,60
146,61
150,61
151,64
155,64
156,64
160,64
161,65
165,65
166,66
170,66
171,67
175,67
176,67
180,67
181,68
185,68
186,70
190,70
191,71
195,71
196,72
200,72
201,73
205,73
206,75
210,75
211,77
215,77
216,79
220,79
221,80
225,80
226,81
230,81
231,82
235,82
236,84
240,84
241,86
245,86
246,88
250,88
251,89
255,89
256,91
260,91
261,92
265,92
266,94
270,94
271,95
275,95
276,97
280,97
281,98
285,98
286,98
290,98
291,100
295,100
296,101
300,101
301,103
310,103
311,105
320,105
321,107
330,107
331,111
340,111
341,114
350,114
351,116
360,116
361,119
370,119
371,121
380,121
381,124
390,124
391,126
400,126
401,128
410,128
411,130
420,130
421,133
430,133
431,137
440,137
441,138
450,138
451,140
460,140
461,144
470,144
471,145
480,145
481,148
490,148
491,150
500,150
501,151
510,151
511,155
520,155
521,156
530,156
531,160
540,160
541,163
550,163
551,164
560,164
561,168
570,168
571,169
580,169
581,172
590,172
591,173
600,173
