DISTANCE,FC(M)
1,230
5,230
6,230
10,230
11,230
15,230
16,230
20,230
21,230
25,230
26,230
30,230
31,230
35,230
36,230
40,230
41,230
45,230
46,230
50,230
51,230
55,230
56,230
60,230
61,230
65,230
66,230
70,230
71,230
75,230
76,230
80,230
81,230
85,230
86,230
90,230
91,230
95,230
96,230
100,230
101,262
105,262
106,269
110,269
111,278
115,278
116,284
120,284
121,292
125,292
126,297
130,297
131,307
135,307
136,314
140,314
141,321
145,321
146,329
150,329
151,337
155,337
156,343
160,343
161,352
165,352
166,360
170,360
171,366
175,366
176,374
180,374
181,383
185,383
186,389
190,389
191,396
195,396
196,404
200,404
201,412
205,412
206,419
210,419
211,427
215,427
216,433
220,433
221,442
225,442
226,450
230,450
231,458
235,458
236,464
240,464
241,473
245,473
246,479
250,479
251,486
255,486
256,491
260,491
261,499
265,499
266,505
270,505
271,513
275,513
276,519
280,519
281,526
285,526
286,532
290,532
291,538
295,538
296,544
300,544
301,558
310,558
311,570
320,570
321,584
330,584
331,599
340,599
341,611
350,611
351,624
360,624
361,637
370,637
371,651
380,651
381,663
390,663
391,676
400,676
401,690
410,690
411,703
420,703
421,715
430,715
431,729
440,729
441,741
450,741
451,754
460,754
461,768
470,768
471,782
480,782
481,795
490,795
491,807
500,807
501,843
510,843
511,854
520,854
521,864
530,864
531,877
540,877
541,887
550,887
551,900
560,900
561,911
570,911
571,922
580,922
581,933
590,933
591,944
600,944
