DISTANCE,2S(O)
1,10
5,10
6,10
10,10
11,10
15,10
16,10
20,10
21,10
25,10
26,10
30,10
31,10
35,10
36,10
40,10
41,10
45,10
46,15
50,15
51,15
55,15
56,15
60,15
61,15
65,15
66,15
70,15
71,20
75,20
76,20
80,20
81,25
85,25
86,25
90,25
91,25
95,25
96,25
100,25
101,25
105,25
106,25
110,25
111,25
115,25
116,30
120,30
121,30
125,30
126,30
130,30
131,30
135,30
136,30
140,30
141,35
145,35
146,35
150,35
151,35
155,35
156,35
160,35
161,35
165,35
166,35
170,35
171,40
175,40
176,40
180,40
181,40
185,40
186,40
190,40
191,40
195,40
196,40
200,40
201,45
205,45
206,45
210,45
211,45
215,45
216,45
220,45
221,45
225,45
226,45
230,45
231,50
235,50
236,50
240,50
241,50
245,50
246,50
250,50
251,50
255,50
256,50
260,50
261,50
265,50
266,50
270,50
271,55
275,55
276,55
280,55
281,55
285,55
286,55
290,55
291,55
295,55
296,60
300,60
301,60
310,60
311,60
320,60
321,65
330,65
331,65
340,65
341,70
350,70
351,70
360,70
361,70
370,70
371,70
380,70
381,75
390,75
391,75
400,75
401,75
410,75
411,75
420,75
421,80
430,80
431,80
440,80
441,80
450,80
451,80
460,80
461,85
470,85
471,85
480,85
481,85
490,85
491,90
500,90
501,90
510,90
511,90
520,90
521,95
530,95
531,95
540,95
541,95
550,95
551,95
560,95
561,100
570,100
571,100
580,100
581,100
590,100
591,100
600,100
