DISTANCE,FC(O)
1,45
5,45
6,45
10,45
11,60
15,60
16,92
20,92
21,93
25,93
26,124
30,124
31,125
35,125
36,132
40,132
41,133
45,133
46,145
50,145
51,149
55,149
56,154
60,154
61,155
65,155
66,167
70,167
71,177
75,177
76,178
80,178
81,191
85,191
86,193
90,193
91,194
95,194
96,206
100,206
101,210
105,210
106,220
110,220
111,221
115,221
116,226
120,226
121,227
125,227
126,235
130,235
131,246
135,246
136,249
140,249
141,255
145,255
146,264
150,264
151,269
155,269
156,270
160,270
161,280
165,280
166,284
170,284
171,293
175,293
176,294
180,294
181,307
185,307
186,311
190,311
191,313
195,313
196,320
200,320
201,328
205,328
206,328
210,328
211,343
215,343
216,344
220,344
221,355
225,355
226,355
230,355
231,359
235,359
236,359
240,359
241,377
245,377
246,378
250,378
251,389
255,389
256,389
260,389
261,400
265,400
266,400
270,400
271,411
275,411
276,411
280,411
281,420
285,420
286,420
290,420
291,437
295,437
296,437
300,437
301,447
310,447
311,456
320,456
321,469
330,469
331,481
340,481
341,496
350,496
351,503
360,503
361,515
370,515
371,525
380,525
381,542
390,542
391,551
400,551
401,559
410,559
411,572
420,572
421,586
430,586
431,594
440,594
441,596
450,596
451,609
460,609
461,620
470,620
471,631
480,631
481,646
490,646
491,647
500,647
501,677
510,677
511,690
520,690
521,704
530,704
531,711
540,711
541,713
550,713
551,725
560,725
561,741
570,741
571,748
580,748
581,759
590,759
591,760
600,760
