DISTANCE,CC(S)
1,170
5,170
6,170
10,170
11,170
15,170
16,170
20,170
21,170
25,170
26,170
30,170
31,170
35,170
36,170
40,170
41,170
45,170
46,170
50,206
51,206
55,206
56,206
60,206
61,207
65,207
66,209
70,209
71,209
75,209
76,209
80,209
81,210
85,210
86,211
90,211
91,211
95,211
96,211
100,211
101,221
105,221
106,229
110,229
111,230
115,230
116,233
120,233
121,238
125,238
126,245
130,245
131,251
135,251
136,257
140,257
141,262
145,262
146,267
150,267
151,274
155,274
156,280
160,280
161,285
165,285
166,291
170,291
171,296
175,296
176,303
180,303
181,308
185,308
186,313
190,313
191,319
195,319
196,327
200,327
201,332
205,332
206,337
210,337
211,341
215,341
216,346
220,346
221,354
225,354
226,361
230,361
231,365
235,365
236,372
240,372
241,377
245,377
246,381
250,381
251,389
255,389
256,393
260,393
261,396
265,396
266,404
270,404
271,408
275,408
276,415
280,415
281,418
285,418
286,425
290,425
291,429
295,429
296,434
300,434
301,441
310,441
311,455
320,455
321,465
330,465
331,475
340,475
341,482
350,482
351,496
360,496
361,504
370,504
371,513
380,513
381,526
390,526
391,534
400,534
401,547
410,547
411,555
420,555
421,562
430,562
431,576
440,576
441,582
450,582
451,594
460,594
461,607
470,607
471,613
480,613
481,626
490,626
491,638
500,638
501,668
510,668
511,674
520,674
521,685
530,685
531,691
540,691
541,704
550,704
551,709
560,709
561,721
570,721
571,726
580,726
581,737
590,737
591,749
600,749
